timestamp,bucket,notional,side
2026-04-14T22:45:47.388903,75000,13364.93,BUY
2026-04-14T22:46:21.412879,75000,1426.84,BUY
2026-04-14T22:47:32.769947,75000,74.97,BUY
2026-04-14T22:47:38.264669,75000,75.06,BUY
2026-04-14T22:49:24.129789,75200,300.49,BUY
2026-04-14T22:51:04.571096,74600,74.52,SELL
2026-04-14T22:51:24.842738,75200,4132.86,BUY
2026-04-14T22:51:37.953072,74600,820.1,SELL
2026-04-14T22:51:47.633785,74600,149.19,SELL
2026-04-14T22:52:05.844850,75200,150.3,BUY
2026-04-14T22:52:29.152818,74800,74.78,SELL
2026-04-14T22:52:35.954472,75200,75.17,BUY
2026-04-14T22:53:00.141544,75200,8571.28,BUY
2026-04-14T22:57:36.368317,74400,148.82,SELL
2026-04-14T22:57:38.827889,74400,3793.27,SELL
2026-04-14T23:10:44.321917,74600,7319.89,BUY
2026-04-14T23:10:52.280703,74800,24132.75,BUY
2026-04-14T23:10:59.165351,74800,1120.94,BUY
2026-04-14T23:11:06.106627,74800,74.74,BUY
2026-04-14T23:11:23.892973,74800,2990.46,BUY
2026-04-14T23:11:33.050449,74800,1495.57,BUY
2026-04-14T23:13:34.184419,74800,972.26,BUY
2026-04-14T23:14:11.135167,74800,673.44,BUY
2026-04-14T23:14:38.438264,74800,224.54,BUY
2026-04-14T23:18:30.392805,74800,224.59,BUY
2026-04-14T23:18:31.554208,74800,149.75,BUY
2026-04-14T23:18:40.208729,74800,299.57,BUY
2026-04-14T23:18:47.874283,75000,449.42,BUY
2026-04-14T23:19:30.904223,75000,13785.92,BUY
2026-04-14T23:30:49.418006,75000,825.4,BUY
2026-04-14T23:42:15.469741,75000,1725.04,BUY
2026-04-14T23:42:49.220659,74400,893.28,SELL
2026-04-14T23:48:02.372635,75000,1048.81,BUY
2026-04-14T23:51:28.257222,74200,29627.78,SELL
2026-04-14T23:51:30.503276,74200,445.3,SELL
2026-04-14T23:53:12.051993,74200,7642.62,SELL
2026-04-14T23:53:27.287714,74200,741.81,SELL
2026-04-14T23:53:29.535347,74200,15723.47,SELL
2026-04-14T23:53:36.855080,74200,12830.67,SELL
2026-04-14T23:53:40.588536,74200,1260.46,SELL
2026-04-14T23:53:49.293421,74200,815.52,SELL
2026-04-14T23:53:50.711671,74200,14455.99,SELL
2026-04-14T23:54:15.456168,74200,148.24,SELL
2026-04-14T23:55:24.643388,74800,7472.42,BUY
2026-04-15T00:04:55.010783,74000,518.62,SELL
2026-04-15T00:04:56.219896,74000,444.43,SELL
2026-04-15T00:05:02.334044,74000,4962.64,SELL
2026-04-15T00:05:07.832440,74000,3406.77,SELL
2026-04-15T00:06:12.162348,74000,148.09,SELL
2026-04-15T00:06:13.314885,74000,189174.76,SELL
2026-04-15T00:06:19.066767,74000,740.32,SELL
2026-04-15T00:06:34.528309,74000,222.08,SELL
2026-04-15T00:06:39.029015,74000,77857.15,SELL
2026-04-15T00:06:51.235796,74000,13764.33,SELL
2026-04-15T00:06:53.296636,74000,739.9,SELL
2026-04-15T00:06:57.528872,74000,14203.72,SELL
2026-04-15T00:07:01.340962,74000,9764.81,SELL
2026-04-15T00:07:05.150871,74000,4068.3,SELL
2026-04-15T00:07:16.013450,74000,1479.19,SELL
2026-04-15T00:07:24.224390,74000,147.9,SELL
2026-04-15T00:07:30.139032,74000,1183.12,SELL
2026-04-15T00:07:51.239014,74000,887.18,SELL
2026-04-15T00:07:55.432656,74000,73.93,SELL
2026-04-15T00:08:05.056150,74000,32078.29,SELL
2026-04-15T00:08:43.044291,74000,73905.1,SELL
2026-04-15T00:08:45.326030,73800,116821.99,SELL
2026-04-15T00:08:46.368942,73800,9235.02,SELL
2026-04-15T00:08:47.630917,73800,812.65,SELL
2026-04-15T00:09:00.102023,73800,6278.77,SELL
2026-04-15T00:09:01.240067,73800,1772.43,SELL
2026-04-15T00:09:03.126910,73800,10853.26,SELL
2026-04-15T00:09:14.145567,73800,41637.92,SELL
2026-04-15T00:09:15.434439,73800,2804.92,SELL
2026-04-15T00:09:22.123926,73800,9078.96,SELL
2026-04-15T00:15:51.175930,74600,522.16,BUY
2026-04-15T00:16:19.702334,73800,5468.39,SELL
2026-04-15T00:16:24.916524,73800,8424.18,SELL
2026-04-15T00:16:26.540989,73800,9151.94,SELL
2026-04-15T00:16:28.065421,73800,26125.38,SELL
2026-04-15T00:16:37.054556,73800,2951.24,SELL
2026-04-15T00:16:38.111558,73800,4943.64,SELL
2026-04-15T00:16:40.037734,73800,43451.12,SELL
2026-04-15T00:16:42.032857,73800,8040.12,SELL
2026-04-15T00:16:54.413291,73800,3245.26,SELL
2026-04-15T00:16:58.102891,73800,958.82,SELL
2026-04-15T00:17:03.076979,73800,9809.11,SELL
2026-04-15T00:17:06.700411,73800,73756.6,SELL
2026-04-15T00:17:08.024526,73800,54861.07,SELL
2026-04-15T00:17:09.070496,73600,545707.23,SELL
2026-04-15T00:17:10.080102,73600,50382.0,SELL
2026-04-15T00:17:11.123075,73600,22094.97,SELL
2026-04-15T00:17:25.044214,73600,4860.62,SELL
2026-04-15T00:17:26.064667,73600,104927.31,SELL
2026-04-15T00:17:33.138727,73600,32834.21,SELL
2026-04-15T00:17:34.321393,73600,8318.0,SELL
2026-04-15T00:17:35.399319,73600,220.82,SELL
2026-04-15T00:18:39.606413,73600,662.42,SELL
2026-04-15T00:18:41.001360,73600,136455.7,SELL
2026-04-15T00:18:43.338343,73600,1913.39,SELL
2026-04-15T00:18:44.356337,73600,883.05,SELL
2026-04-15T00:18:47.211269,73600,1030.18,SELL
2026-04-15T00:18:50.084561,73600,131641.42,SELL
2026-04-15T00:18:52.242651,73600,27001.99,SELL
2026-04-15T00:18:54.032402,73600,515.02,SELL
2026-04-15T00:18:57.342232,73600,1250.68,SELL
2026-04-15T00:19:10.117902,73600,441254.4,SELL
2026-04-15T00:19:11.337518,73600,3016.07,SELL
2026-04-15T00:19:44.584239,73600,58552.96,SELL
2026-04-15T00:19:50.098477,73600,196325.77,SELL
2026-04-15T00:19:51.341569,73600,34567.23,SELL
2026-04-15T00:19:52.451454,73600,48829.5,SELL
2026-04-15T00:19:54.522729,73600,1764.99,SELL
2026-04-15T00:19:56.017255,73600,75881.52,SELL
2026-04-15T00:19:58.157358,73600,59036.08,SELL
2026-04-15T00:19:59.360374,73600,48006.08,SELL
2026-04-15T00:20:05.689329,73600,10732.2,SELL
2026-04-15T00:20:07.076764,73600,9408.28,SELL
